Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
Шары россыпью SY-1401 50мм красный,Новогодние товары,Украшения елочные,Шары новогодние,шары россыпью 50мм красный,шары россыпью 50мм красный
Набор шаров 3шт 10см синий SYQE-012124,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 3шт 10см синий,набор шаров 3шт 10см синий
Набор шаров 40шт 4-7см фиолетовый+шампанское SYQC-012158,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 40шт 4-7см фиолетовый+шампанское,набор шаров 40шт 4-7см фиолетовый+шампанское
Набор шаров 12шт 8см красный SYQB-012171,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 12шт 8см красный,набор шаров 12шт 8см красный
Набор шаров 16шт 8см медь SYQE-0121261,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 16шт 8см медь,набор шаров 16шт 8см медь
Набор шаров 16шт 8см синий SYQE-0121264,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 16шт 8см синий,набор шаров 16шт 8см синий
Набор шаров 24шт 8см розовый SYQA-012104-RO,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 8см розовый -ro,набор шаров 24шт 8см розовый -ro
Шар с узором 8см синий SYPMQA-102125,Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см синий,шар с узором 8см синий
Шар с узором 8см зелёный SYPMQB-1021220,Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см зелёный,шар с узором 8см зелёный
Шар с узором 8см розовый SYPMQA-1021226,Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см розовый,шар с узором 8см розовый
Шар с узором 8см синий SYPMQB-102116,Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см синий,шар с узором 8см синий
Шар с узором 8см синий SYPMQA-102126,Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см синий,шар с узором 8см синий
Шар с узором 8см красный SYPMQC-102125,Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см красный,шар с узором 8см красный
Украшение елочное Шар с декором 8см пластик 460143,Новогодние товары,Украшения елочные,Шары новогодние,украшение елочное шар с декором 8см пластик 460143,украшение елочное шар с декором 8см пластик 460143
Украшение елочное Шар с декором 8см пластик 460228,Новогодние товары,Украшения елочные,Шары новогодние,украшение елочное шар с декором 8см пластик 460228,украшение елочное шар с декором 8см пластик 460228
Украшение елочное Шар с декором 8см пластик 460242,Новогодние товары,Украшения елочные,Шары новогодние,украшение елочное шар с декором 8см пластик 460242,украшение елочное шар с декором 8см пластик 460242
"Набор шаров 3шт 8см радужно-золотой, SYQDPET-0123008",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 3шт 8см радужно-золотой syqdpet-0123008,набор шаров 3шт 8см радужно-золотой syqdpet-0123008
"Набор шаров 6шт 8см радужно-голубой, SYQA-0123001",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см радужно-голубой,набор шаров 6шт 8см радужно-голубой
"Набор шаров 24шт 6см жемчужный+белый, SYQA-0123050",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 6см жемчужный+белый,набор шаров 24шт 6см жемчужный+белый
"Набор шаров 6шт 8см синяя ночь, SYQB2-0123144",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см синяя ночь,набор шаров 6шт 8см синяя ночь
"Набор шаров 24шт 6см мятный+белый, SYQA-0123012",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 6см мятный+белый,набор шаров 24шт 6см мятный+белый
"Шар с узором 8см кофе, SYPMQB-0223015",Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см кофе,шар с узором 8см кофе
Шар новогодний 8см синий/серый арт.90722,Новогодние товары,Украшения елочные,Шары новогодние,шар новогодний 8см синий/серый,шар новогодний 8см синий/серый
Набор шаров 34шт 4см медный SYQA-0122348,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 34шт 4см медный,набор шаров 34шт 4см медный
Набор шаров 24шт 4см жемчужный+золото SYQA-012239,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 4см жемчужный+золото,набор шаров 24шт 4см жемчужный+золото
Набор шаров 24шт 6см жемчужный+золото SYQA-012241,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 6см жемчужный+золото,набор шаров 24шт 6см жемчужный+золото
