Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
Клейкая лента UNIBOB 54928 19 мм х 5 м белая,Хранение и порядок,Ёмкости для хранения,Упаковочная клейкая лента,клейкая лента unibob 54928 19 мм х 5 м белая,клейкая лента unibob 54928 19 мм х 5 м белая
Стеллаж универсальный ФЕЛИКС ЛДСП 164х37х34 см антрацит,Хранение и порядок,Мебель для хранения,Книжные стеллажи,стеллаж универсальный феликс лдсп 164х37х34 см антрацит,стеллаж универсальный феликс лдсп 164х37х34 см антрацит
Боковая вешалка на полку Larvij L9718-300WH 308x35x35 см белая,Хранение и порядок,Гардеробные системы,Кронштейны и направляющие для гардеробных систем,боковая вешалка на полку larvij 300wh 308x35x35 см белая,боковая вешалка на полку larvij 300wh 308x35x35 см белая
Короб UNO 30х30х30 светло-серый,Хранение и порядок,Аксессуары для хранения,Короба для хранения,короб uno 30х30х30 светло-серый,короб uno 30х30х30 светло-серый
Чехол для одежды HAUSMANN синий 60х135 см,Хранение и порядок,Аксессуары для хранения,Чехлы для одежды,чехол одежды hausmann синий 60х135 см,чехол одежды hausmann синий 60х135 см
"Вешалка Palladium напольная с 2 перекладинами и сеткой внизу, черная",Хранение и порядок,Аксессуары для хранения,Вешалки напольные,вешалка palladium напольная с 2 перекладинами и сеткой внизу черная,вешалка palladium напольная с 2 перекладинами и сеткой внизу черная
"Кронштейн для телевизора 17""-42"" REXANT наклонно-поворотный 1 колено",Хранение и порядок,Полки и кронштейны,Кронштейны для телевизора,кронштейн телевизора 17-42 rexant наклонно-поворотный 1 колено,кронштейн телевизора 17-42 rexant наклонно-поворотный 1 колено
Стойка для стеллажа Титан GS-450 серебристая 2500x30x20 мм,Хранение и порядок,Хранение в гараже,Стеллажные системы хранения,стойка стеллажа титан серебристая 2500x30x20 мм,стойка стеллажа титан серебристая 2500x30x20 мм
Тумба для обуви Шведский Стандарт Сириус 60х143 см дуб венге,Хранение и порядок,Мебель для хранения,Обувницы,тумба обуви шведский стандарт сириус 60х143 см дуб венге,тумба обуви шведский стандарт сириус 60х143 см дуб венге
Контейнер 11 л пластиковый прозрачный 39*28*14 без крышки,Хранение и порядок,Ёмкости для хранения,Пластиковые контейнеры для хранения,контейнер 11 л пластиковый прозрачный 39*28*14 без крышки,контейнер 11 л пластиковый прозрачный 39*28*14 без крышки
