Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
Маска сварщика Biber 96211,Строительные материалы,Расходные материалы для стройки,Средства защиты и спецодежда,маска сварщика biber 96211,маска сварщика biber 96211
"Лента хозяйственная Момент металлизированная, 48 мм x 50 м",Строительные материалы,Расходные материалы для стройки,"Скотчи, ленты, стретч пленка",лента хозяйственная момент металлизированная 48 мм x 50 м,лента хозяйственная момент металлизированная 48 мм x 50 м
Поролон 30 мм (1х2 м),Строительные материалы,Тепло и шумоизоляция,Тепло и звукоизоляция,поролон 30 мм (1х2 м),поролон 30 мм (1х2 м)
"Доска обрезная, сорт деловой, 50х150х6000 мм",Строительные материалы,Пиломатериалы,Доски,доска обрезная сорт деловой 50х150х6000 мм,доска обрезная сорт деловой 50х150х6000 мм
"Лента уплотнительная саморасширяющаяся ПСУЛ 0,03х5м",Строительные материалы,Стеновые материалы,Профиль и аксессуары для гипсокартона,лента уплотнительная саморасширяющаяся псул 003х5м,лента уплотнительная саморасширяющаяся псул 003х5м
Краги сварщика спилковые,Строительные материалы,Расходные материалы для стройки,Средства защиты и спецодежда,краги сварщика спилковые,краги сварщика спилковые
"Утеплитель Rockwool Акустик Баттс 1000х600х100 мм, 5 шт",Строительные материалы,Тепло и шумоизоляция,Шумо и виброизоляция,утеплитель rockwool акустик баттс 1000х600х100 мм 5 шт,утеплитель rockwool акустик баттс 1000х600х100 мм 5 шт
"Утеплитель Rockwool Фасад Баттс Оптима 1200х600х50 мм, 5 шт",Строительные материалы,Тепло и шумоизоляция,Теплоизоляция по видам работ,утеплитель rockwool фасад баттс оптима 1200х600х50 мм 5 шт,утеплитель rockwool фасад баттс оптима 1200х600х50 мм 5 шт
"Лента малярная Строби, 19 мм х 50 м",Строительные материалы,Расходные материалы для стройки,"Скотчи, ленты, стретч пленка",лента малярная строби 19 мм х 50 м,лента малярная строби 19 мм х 50 м
"Сетка кладочная 100х100 мм (2х0,38 м) d=3,2-3,5 мм",Строительные материалы,Металлопрокат,Сетки армирующие,сетка кладочная 100х100 мм (2х038 м) d=32-35 мм,сетка кладочная 100х100 мм (2х038 м) d=32-35 мм
Плита гипсовая пазогребневая Knauf 667х500х100 мм обычная полнотелая,Строительные материалы,Стеновые материалы,Пазогребневые плиты,плита гипсовая пазогребневая knauf 667х500х100 мм обычная полнотелая,плита гипсовая пазогребневая knauf 667х500х100 мм обычная полнотелая
"Гидроизоляция жесткая обмазочная Vetonit Weber.Tec AquaSafe, 20 кг",Строительные материалы,Гидроизоляция,Цементная гидроизоляция,гидроизоляция жесткая обмазочная vetonit webertec aquasafe 20 кг,гидроизоляция жесткая обмазочная vetonit webertec aquasafe 20 кг
"Проволока вязальная, 2,0 мм, 100 пог. м.",Строительные материалы,Металлопрокат,Арматура и комплектующие,проволока вязальная 20 мм 100 пог м,проволока вязальная 20 мм 100 пог м
"Пленка полиэтиленовая армированная (2х25 м, 140 г/м2)",Строительные материалы,Расходные материалы для стройки,Пленки полиэтиленовые,пленка полиэтиленовая армированная (2х25 м 140 г/м2),пленка полиэтиленовая армированная (2х25 м 140 г/м2)
"Клей Церезит СТ 180 для минераловатных плит зима, 25 кг",Строительные материалы,Строительные смеси,Смеси для фасадов,клей церезит ст 180 минераловатных плит зима 25 кг,клей церезит ст 180 минераловатных плит зима 25 кг
